iter	Passed	Remaining
0	8	8099
1	17	8690
2	25	8585
3	33	8384
4	42	8362
5	49	8221
6	58	8261
7	66	8203
8	74	8210
9	82	8196
10	90	8156
11	98	8150
12	106	8091
13	119	8422
14	128	8424
15	137	8441
16	145	8411
17	154	8420
18	162	8389
19	171	8379
20	179	8353
21	187	8314
22	194	8274
23	202	8232
24	209	8189
25	218	8169
26	225	8128
27	233	8111
28	241	8082
29	248	8037
30	257	8051
31	264	7996
32	271	7970
33	279	7927
34	285	7882
35	293	7865
36	301	7847
37	310	7851
38	322	7938
39	331	7950
40	338	7916
41	346	7894
42	354	7889
43	361	7859
44	368	7818
45	376	7808
46	383	7772
47	389	7726
48	396	7692
49	402	7649
50	409	7611
51	415	7582
52	422	7553
53	428	7513
54	435	7490
55	442	7459
56	449	7431
57	456	7406
58	462	7377
59	468	7338
60	475	7326
61	482	7296
62	488	7271
63	496	7267
64	507	7304
65	515	7294
66	521	7263
67	528	7237
68	534	7217
69	541	7196
70	548	7173
71	554	7152
72	561	7125
73	568	7116
74	575	7093
75	581	7067
76	589	7061
77	595	7044
78	602	7019
79	609	7011
80	616	6991
81	622	6969
82	629	6951
83	636	6938
84	642	6912
85	649	6898
86	655	6879
87	661	6858
88	669	6850
89	675	6833
90	681	6810
91	688	6798
92	696	6790
93	706	6813
94	716	6822
95	722	6805
96	729	6793
97	736	6778
98	742	6761
99	750	6751
100	756	6734
101	763	6718
102	770	6707
103	776	6691
104	782	6671
105	790	6668
106	797	6654
107	803	6635
108	810	6625
109	816	6608
110	822	6589
111	829	6576
112	835	6560
113	842	6544
114	848	6531
115	854	6515
116	861	6499
117	867	6485
118	873	6470
119	880	6455
120	887	6447
121	894	6434
122	901	6425
123	914	6458
124	920	6446
125	927	6436
126	934	6425
127	941	6412
128	947	6399
129	954	6388
130	960	6373
131	968	6371
132	975	6360
133	982	6346
134	988	6335
135	995	6324
136	1001	6309
137	1008	6298
138	1014	6286
139	1021	6272
140	1027	6262
141	1034	6249
142	1040	6234
143	1046	6221
144	1053	6209
145	1059	6194
146	1066	6187
147	1072	6174
148	1078	6160
149	1087	6161
150	1098	6176
151	1106	6170
152	1112	6157
153	1118	6144
154	1124	6132
155	1131	6122
156	1137	6108
157	1145	6105
158	1151	6092
159	1157	6078
160	1165	6071
161	1171	6060
162	1177	6046
163	1185	6042
164	1191	6031
165	1197	6018
166	1205	6010
167	1211	5999
168	1217	5985
169	1224	5979
170	1231	5968
171	1237	5956
172	1245	5951
173	1251	5939
174	1257	5926
175	1264	5921
176	1270	5908
177	1277	5900
178	1286	5900
179	1298	5915
180	1305	5908
181	1311	5896
182	1319	5890
183	1325	5880
184	1332	5869
185	1339	5861
186	1346	5852
187	1351	5839
188	1358	5828
189	1364	5819
190	1371	5808
191	1377	5796
192	1384	5787
193	1390	5776
194	1396	5764
195	1403	5757
196	1409	5746
197	1416	5735
198	1422	5726
199	1429	5717
200	1435	5706
201	1443	5700
202	1449	5690
203	1455	5679
204	1462	5671
205	1469	5664
206	1478	5665
207	1488	5668
208	1494	5657
209	1503	5654
210	1509	5645
211	1517	5641
212	1523	5630
213	1530	5620
214	1537	5612
215	1543	5602
216	1549	5592
217	1557	5586
218	1563	5576
219	1570	5566
220	1576	5558
221	1583	5548
222	1589	5538
223	1596	5531
224	1603	5521
225	1609	5511
226	1615	5501
227	1622	5492
228	1628	5482
229	1634	5473
230	1641	5464
231	1647	5454
232	1654	5446
233	1660	5437
234	1667	5427
235	1677	5429
236	1687	5432
237	1695	5428
238	1701	5419
239	1707	5408
240	1715	5401
241	1721	5392
242	1727	5382
243	1734	5375
244	1741	5365
245	1747	5355
246	1754	5349
247	1761	5339
248	1767	5330
249	1774	5323
250	1780	5314
251	1787	5304
252	1794	5297
253	1800	5289
254	1806	5278
255	1814	5272
256	1820	5263
257	1826	5253
258	1834	5247
259	1840	5238
260	1846	5229
261	1854	5222
262	1861	5216
263	1868	5209
264	1878	5211
265	1889	5214
266	1896	5207
267	1903	5198
268	1909	5189
269	1916	5180
270	1922	5171
271	1928	5161
272	1935	5154
273	1941	5144
274	1947	5135
275	1954	5127
276	1961	5118
277	1967	5109
278	1974	5102
279	1980	5093
280	1987	5084
281	1993	5076
282	2000	5067
283	2006	5057
284	2012	5049
285	2019	5040
286	2025	5032
287	2032	5024
288	2038	5015
289	2045	5007
290	2051	4999
291	2058	4990
292	2068	4990
293	2078	4991
294	2085	4983
295	2092	4975
296	2098	4966
297	2104	4957
298	2111	4949
